n,D,dt,total_time,mode,ed_basis_dimension,ed_constrained_dimension,ed_group_order,ed_excitation_density,ipeps_simple_density,ipeps_exact_finite_density,density_error_simple,density_error_exact_finite,return_probability_error,max_truncerr,log_norm_delta_abs,reversibility_density_drift,ed_runtime_seconds,ipeps_runtime_seconds
3,1,0.01,0.1,exact_finite,4,34,72,0.009835227731858387,0.007150565767059424,0.007150565767059423,-0.0026846619647989626,-0.0026846619647989635,0.02421964371136409,5.702861606488507e-5,0.132457359411218,0.000533491122528376,0.002001909,3.07886177
3,2,0.01,0.1,exact_finite,4,34,72,0.009835227731858387,0.00385478919320535,0.009834298606215633,-0.0059804385386530365,-9.291256427533534e-7,8.161076518131694e-6,4.062934052582059e-12,175.7138194393141,5.125629856478343e-11,0.002001909,1.451950778
3,3,0.01,0.1,exact_finite,4,34,72,0.009835227731858387,0.004229286936642256,0.009811284034893876,-0.005605940795216131,-2.394369696451064e-5,0.00020607886340051618,6.074766442729013e-7,198.17898092077792,0.019457436800368457,0.002001909,2.416996164
3,1,0.02,0.1,exact_finite,4,34,72,0.009835227731858387,0.008256771395622404,0.008256771395622402,-0.0015784563362359824,-0.0015784563362359842,0.014861038513836133,7.70606645477153e-5,0.04583326361598108,0.0002089526867711061,2.527221249,61.91007662
3,2,0.02,0.1,exact_finite,4,34,72,0.009835227731858387,0.0038515872175553384,0.0098324075836964,-0.005983640514303048,-2.820148161986752e-6,2.4753975550795282e-5,1.2902801606666136e-11,82.13853026388917,2.76851944539567e-13,2.527221249,2.784335794
3,3,0.02,0.1,exact_finite,4,34,72,0.009835227731858387,0.0036624291848411025,0.009815959686157243,-0.006172798547017284,-1.9268045701143627e-5,0.00016587018010305599,1.626795374665782e-6,103.39144541681279,0.020684739962082095,2.527221249,1.618450928
4,1,0.01,0.1,symmetric_pbc_ed_global,29,743,128,0.009835615793711339,0.007150507703147423,,-0.002685108090563916,,,5.6982624703745674e-5,0.3167027772632588,0.0005335249066076249,0.002059314,1.583348992
4,2,0.01,0.1,symmetric_pbc_ed_global,29,743,128,0.009835615793711339,0.003486268372514773,,-0.0063493474211965654,,,4.062982724652761e-12,310.5323194745649,1.1821956926731596e-11,0.002059314,2.478956056
4,3,0.01,0.1,symmetric_pbc_ed_global,29,743,128,0.009835615793711339,0.004220671334176289,,-0.00561494445953505,,,2.8137238307503557e-6,351.2187507528694,0.024492643290920373,0.002059314,78.114506317
4,1,0.02,0.1,symmetric_pbc_ed_global,29,743,128,0.009835615793711339,0.008256736018824566,,-0.0015788797748867728,,,7.702762129558535e-5,0.11075169920331834,0.00020895015288475624,0.185601295,10.094058966
4,2,0.02,0.1,symmetric_pbc_ed_global,29,743,128,0.009835615793711339,0.003483464592306026,,-0.006352151201405313,,,1.2903255158156103e-11,144.17600491834637,2.1986259743804365e-13,0.185601295,2.422889314
4,3,0.02,0.1,symmetric_pbc_ed_global,29,743,128,0.009835615793711339,0.0031312991000076846,,-0.006704316693703654,,,8.646953234011954e-6,181.8185850115021,0.02351955267016682,0.185601295,84.052878116
5,1,0.01,0.1,symmetric_pbc_ed_global,188,25531,200,0.009835614761304822,0.007150471439969906,,-0.0026851433213349162,,,5.698401651659688e-5,0.6219189388504108,0.0005335432907271453,0.013880436,1.922091044
5,2,0.01,0.1,symmetric_pbc_ed_global,188,25531,200,0.009835614761304822,0.0032733503646271674,,-0.006562264396677655,,,4.0629828355683945e-12,483.4747995466304,8.066619053083517e-12,0.013880436,3.833590872
5,3,0.01,0.1,symmetric_pbc_ed_global,188,25531,200,0.009835614761304822,0.004010582513248762,,-0.005825032248056061,,,1.4434391080737209e-6,542.3502473045171,0.02314684984048096,0.013880436,119.532079146
5,1,0.02,0.1,symmetric_pbc_ed_global,188,25531,200,0.009835614761304822,0.008256713889812067,,-0.0015789008714927558,,,7.702799719493454e-5,0.21904000293026235,0.00020894721416295757,0.17536834,0.541936514
5,2,0.02,0.1,symmetric_pbc_ed_global,188,25531,200,0.009835614761304822,0.0032707740269863426,,-0.00656484073431848,,,1.2903255954979992e-11,223.5426758995646,2.1265028951386887e-13,0.17536834,2.082899531
5,3,0.02,0.1,symmetric_pbc_ed_global,188,25531,200,0.009835614761304822,0.0031125003695882964,,-0.006723114391716526,,,3.7458539436105506e-6,279.3916174609745,0.020655375732151277,0.17536834,111.105589134
6,1,0.01,0.1,symmetric_pbc_ed_global,9702,2406862,288,0.0098356147639628,0.00715044744217426,,-0.0026851673217885407,,,5.698398843143879e-5,1.0786595329308686,0.0005335557035012478,1.367046247,2.118808409
6,2,0.01,0.1,symmetric_pbc_ed_global,9702,2406862,288,0.0098356147639628,0.0031348193715917743,,-0.006700795392371026,,,4.062982831819001e-12,694.5414796061367,5.666001370479822e-12,1.367046247,5.806158494
6,3,0.01,0.1,symmetric_pbc_ed_global,9702,2406862,288,0.0098356147639628,0.0041727503926956904,,-0.00566286437126711,,,2.786621953103046e-6,777.6658794908944,0.02035793623055427,1.367046247,166.772111649
6,1,0.02,0.1,symmetric_pbc_ed_global,9702,2406862,288,0.0098356147639628,0.008256699214432377,,-0.001578915549530423,,,7.702799480473374e-5,0.3818276110132355,0.00020894534289594844,1.536694505,1.551927857
6,2,0.02,0.1,symmetric_pbc_ed_global,9702,2406862,288,0.0098356147639628,0.0031323898585593666,,-0.0067032249054034335,,,1.2903255900741316e-11,320.2386716664392,2.051620048042045e-13,1.536694505,2.779226373
6,3,0.02,0.1,symmetric_pbc_ed_global,9702,2406862,288,0.0098356147639628,0.00363396224595943,,-0.0062016525180033704,,,7.519703410248887e-6,399.71942865099913,0.03134119870953426,1.536694505,170.261902937
3,1,0.005,0.2,exact_finite,4,34,72,0.03745145090992117,0.007207496388951382,0.007207496388951383,-0.030243954520969788,-0.030243954520969788,0.24814973471720614,5.6483533641291645e-5,5.9956228105792455,0.006618372865229546,2.721017641,71.208610704
3,2,0.005,0.2,exact_finite,4,34,72,0.03745145090992117,0.015048180514181738,0.03743402045840971,-0.02240327039573943,-1.7430451511459e-5,0.00014299000508066761,2.0169950918495462e-11,737.2162544770814,0.03524945844277785,2.754886956,74.685793513
3,3,0.005,0.2,exact_finite,4,34,72,0.03745145090992117,0.03938252417627079,0.033910384274443345,0.0019310732663496213,-0.0035410666354778256,0.026836516894869766,8.757063308246097e-7,952.7717184194998,0.021702715840800222,3.124912785,81.312469749
3,4,0.005,0.2,exact_finite,4,34,72,0.03745145090992117,0.040892946109023956,0.03246542014076473,0.0034414951991027856,-0.004986030769156442,0.03829259356046555,4.724490722266712e-6,1102.2879060419332,0.041678122745314065,3.206234863,143.953262438
3,1,0.01,0.2,exact_finite,4,34,72,0.03745145090992117,0.011112423396092638,0.011112423396092634,-0.026339027513828533,-0.026339027513828536,0.21549848124506588,0.00014221069173515392,2.733169539947159,0.007992726394629397,3.187957445,68.69514577
3,2,0.01,0.2,exact_finite,4,34,72,0.03745145090992117,0.015037869643228187,0.03743262549582653,-0.022413581266692982,-1.8825414094640613e-5,0.00015429939462163755,7.732545411024756e-11,362.8911446315192,0.0355083389328688,2.708374318,70.908969081
3,3,0.01,0.2,exact_finite,4,34,72,0.03745145090992117,0.02698519822734214,0.03547876344035262,-0.01046625268257903,-0.0019726874695685515,0.014825505143353679,2.217806902556356e-6,494.11834190114905,0.018229310742613834,2.742758742,80.623233431
3,4,0.01,0.2,exact_finite,4,34,72,0.03745145090992117,0.03712593472667345,0.02588717003123613,-0.00032551618324772047,-0.011564280878685041,0.08986890857642482,0.0003556889080739601,581.192584628518,0.02719726615666253,2.733193651,115.723837121
3,1,0.02,0.2,exact_finite,4,34,72,0.03745145090992117,0.016358279883675917,0.016358279883675917,-0.021093171026245253,-0.021093171026245253,0.17322818287192876,0.00033534868636567064,1.1716769515911094,0.0069517585039539954,2.724762304,68.240795318
3,2,0.02,0.2,exact_finite,4,34,72,0.03745145090992117,0.015016196124359912,0.03742649100815592,-0.022435254785561257,-2.4959901765250758e-5,0.00020397287145546006,2.831508520697572e-10,175.7285637318741,0.06963173199930754,2.711546311,69.740381299
3,3,0.02,0.2,exact_finite,4,34,72,0.03745145090992117,0.01885543175982056,0.0368066348087469,-0.01859601915010061,-0.0006448161011742698,0.004763475039873621,3.94852895955408e-6,251.40788451041078,0.01603530864771113,2.760416371,73.906192292
3,4,0.02,0.2,exact_finite,4,34,72,0.03745145090992117,0.03689964949799544,0.027749750894362112,-0.0005518014119257272,-0.009701700015559058,0.07468900474469231,6.505407801060804e-5,299.28974119632056,0.013142150794763179,2.720220661,100.524825118
3,1,0.005,0.5,exact_finite,4,34,72,0.17010033361450297,0.007264313850271695,0.0072643138502716965,-0.1628360197642313,-0.16283601976423126,0.889351769734133,5.6960381501818455e-5,77.01001987456108,0.007263955359009063,2.7278383,79.252238038
3,2,0.005,0.5,exact_finite,4,34,72,0.17010033361450297,0.078910725315256,0.1688952687931586,-0.09118960829924697,-0.0012050648213443593,0.00482874446610921,1.2044531345500093e-9,1864.2826422121743,0.060702801360608016,2.735176309,83.906888922
3,3,0.005,0.5,exact_finite,4,34,72,0.17010033361450297,0.08256868502165718,0.14597819917698848,-0.08753164859284579,-0.024122134437514486,0.04537217052584666,1.7060616382550984e-6,2681.40243955776,0.025784527592014106,2.711274985,112.098250996
3,4,0.005,0.5,exact_finite,4,34,72,0.17010033361450297,0.07153272761674305,0.16346750866595264,-0.09856760599775992,-0.006632824948550331,0.01644740323709447,4.724507002855038e-6,3341.3315639718617,0.04629461531800338,2.732642746,346.16907243
3,1,0.01,0.5,exact_finite,4,34,72,0.17010033361450297,0.011487139778046836,0.011487139778046837,-0.15861319383645614,-0.15861319383645614,0.8541034991043498,0.00014908387869613275,43.4813764250876,0.011484838868150993,2.694211703,74.051601684
3,2,0.01,0.5,exact_finite,4,34,72,0.17010033361450297,0.07880590889331512,0.16889632581353045,-0.09129442472118784,-0.0012040078009725175,0.004826338672006075,4.800225567256432e-9,926.4757381462952,0.060078201916862244,2.761159811,78.87048086
3,3,0.01,0.5,exact_finite,4,34,72,0.17010033361450297,0.08322656173419739,0.15295893755349524,-0.08687377188030558,-0.01714139606100773,0.02764152229687865,4.236883066102428e-6,1365.6269878287987,0.06988498908713767,2.748833462,92.382194255
3,4,0.01,0.5,exact_finite,4,34,72,0.17010033361450297,0.06959247537618277,0.15337338422258862,-0.1005078582383202,-0.016726949391914353,0.039444064562021236,0.00035569383747006056,1691.39199714872,0.039702825969653695,2.72559874,208.570274272
3,1,0.02,0.5,exact_finite,4,34,72,0.17010033361450297,0.018118801288328785,0.018118801288328785,-0.15198153232617417,-0.15198153232617417,0.8011246715742012,0.0003992200312847585,23.91460060856707,0.018085126951405326,2.719365107,70.715261185
3,2,0.02,0.5,exact_finite,4,34,72,0.17010033361450297,0.07859383014471716,0.1688906387906427,-0.09150650346978581,-0.001209694823860269,0.004846866499922872,1.9055488731351256e-8,457.5724058253263,0.05809456377908652,2.764861317,73.451669086
3,3,0.02,0.5,exact_finite,4,34,72,0.17010033361450297,0.08298243946523526,0.16040074469239884,-0.08711789414926771,-0.009699588922104124,0.011702044955240756,8.26701464661108e-6,691.5122756392823,0.049284836815771865,2.706374706,81.897197776
3,4,0.02,0.5,exact_finite,4,34,72,0.17010033361450297,0.06973561876255661,0.13937836788720126,-0.10036471485194635,-0.03072196572730171,0.07236009892444102,8.814044742351158e-5,849.7367577261784,0.049230648506682975,2.722690206,147.745778378
